Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],Beta0_1,Beta1,Beta2_1,Beta3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],Beta0_2,Beta1_2,Beta2_2,Beta3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
9580,-27069.1622527734,32717.7917101867,-0.00971469854775819,-2.36059396013322,-1.95303899130247,-5.26188096628805e-07,0.0101332023853918,-0.707137093610196,0.172100785040347,0.685737390579249,-0.00236012536915299,-7.50511168187541e-05,-0.00113496218593589,-27069.1622592241,32717.7940806085,0,-2.36059386337413,-1.95304114691974,0,0.0101332023853918,-0.707137093610196,0.172100785040347,0.685737390579249,-0.00236012536915299,-7.50511168187548e-05,-0.000134962185935886
9590,-27092.7611431511,32698.2528060895,-0.00971992825577449,-2.35918425114386,-1.9547416596483,-5.19747218206502e-07,0.00231367521966126,-0.707191185978674,0.163004800230684,0.687971444525722,-0.00236029769428907,-7.2541966426988e-05,-0.00113525732607258,-27092.7611501926,32698.2551549791,0,-2.35918412558068,-1.95474380943799,0,0.00231367521966126,-0.707191185978674,0.163004800230684,0.687971444525722,-0.00236029769428907,-7.25419664269886e-05,-0.000135257326072579
9600,-27116.3459303125,32678.6968803945,-0.00972509336867683,-2.35777331386965,-1.95644331077652,-5.13269304148109e-07,0.00550943626205649,0.707148310027551,-0.153884370036095,-0.690094569168493,-0.00236047211499117,-7.00357389721821e-05,-0.00113552569938333,-27116.345937642,32678.6992078116,0,-2.357773159683,-1.95644545438393,0,0.00550943626205649,0.707148310027551,-0.153884370036095,-0.690094569168493,-0.00236047211499117,-7.00357389721828e-05,-0.000135525699383322
9610,-27139.9166019782,32659.1239432782,-0.00973019352293917,-2.35636114904311,-1.95814394379708,-5.06755712535085e-07,0.0133349336358616,0.707008419951803,-0.144740829740349,-0.692106470037853,-0.00236064862008136,-6.75328687354435e-05,-0.00113576740628362,-27139.916609295,32659.1262492863,0,-2.35636096641559,-1.95814608087176,0,0.0133349336358616,0.707008419951803,-0.144740829740349,-0.692106470037853,-0.00236064862008136,-6.75328687354442e-05,-0.000135767406283614
9620,-27163.4731458764,32639.5340049257,-0.00973522836837787,-2.35494775739753,-1.95984355782058,-5.00207753881788e-07,0.0211616176043072,0.706771483683668,-0.135575518193797,-0.694006869316464,-0.00236082719865326,-6.50337870226433e-05,-0.00113598255129506,-27163.4731528816,32639.536289592,0,-2.35494754651359,-1.95984568801619,0,0.0211616176043072,0.706771483683668,-0.135575518193797,-0.694006869316464,-0.00236082719865326,-6.50337870226439e-05,-0.000135982551295057
9630,-27187.0155497424,32619.9270755314,-0.00974019756767965,-2.3535331396669,-1.96154215195826,-4.93626691872686e-07,0.0289882881855579,0.706437482906171,-0.126389777640644,-0.695795505878856,-0.00236100784006265,-6.25389221092119e-05,-0.00113617124300528,-27187.015556139,32619.9293389267,0,-2.35353290071277,-1.96154427493248,0,0.0289882881855579,0.706437482906171,-0.126389777640644,-0.695795505878856,-0.00236100784006265,-6.25389221092125e-05,-0.000136171243005274
9640,-27210.5438013191,32600.3031652983,-0.00974510079593734,-2.35211729658598,-1.96323972532203,-4.8701374419398e-07,0.0368137449026666,0.706006413065236,-0.117184953545533,-0.697472135328381,-0.00236119053391769,-6.00486991857159e-05,-0.00113633359402743,-27210.543806812,32600.305407497,0,-2.35211702974956,-1.9632418407364,0,0.0368137449026666,0.706006413065236,-0.117184953545533,-0.697472135328381,-0.00236119053391769,-6.00486991857166e-05,-0.000136333594027424
9650,-27234.0578883566,32580.6622844384,-0.00974993774019443,-2.35070022889021,-1.96493627702445,-4.80370083452503e-07,0.044636786972924,0.705478283380364,-0.107962394419467,-0.699036530031617,-0.00236137527006877,-5.75635403042197e-05,-0.00113646972095934,-27234.0578926526,32580.6645055186,0,-2.35069993436101,-1.96493838454427,0,0.044636786972924,0.705478283380364,-0.107962394419467,-0.699036530031617,-0.00236137527006877,-5.75635403042204e-05,-0.000136469720959333
9660,-27257.5577986123,32561.0044431725,-0.00975470809899924,-2.34928193731578,-1.96663180617874,-4.73696838183148e-07,0.0524562134972568,0.704853116853888,-0.098723451645072,-0.700488479150209,-0.00236156203859792,-5.50838643254333e-05,-0.00113657974434225,-27257.5578014202,32561.0066432158,0,-2.3492816152848,-1.96663390547293,0,0.0524562134972568,0.704853116853888,-0.098723451645072,-0.700488479150209,-0.00236156203859792,-5.50838643254339e-05,-0.000136579744342244
9670,-27281.0435198511,32541.3296517302,-0.00975941158196962,-2.34786242259954,-1.96832631189876,-4.6699509394071e-07,0.0602708236496343,0.704130950278782,-0.0894694793012235,-0.701827788670171,-0.00236175082980796,-5.26100868666505e-05,-0.0011366637886192,-27281.0435208818,32541.3318308217,0,-2.34786207325928,-1.96832840263977,0,0.0602708236496343,0.704130950278782,-0.0894694793012235,-0.701827788670171,-0.00236175082980796,-5.26100868666511e-05,-0.000136663788619198
9680,-27304.5150398451,32521.6379203503,-0.00976404790936888,-2.34644168547906,-1.97001979329906,-4.60265894472936e-07,0.0680794168664547,0.703311834245036,-0.080201833987039,-0.703054281428626,-0.00236194163421119,-5.01426202504789e-05,-0.00113672198209306,-27304.5150388114,32521.6400785784,0,-2.3464413090234,-1.97002187516269,0,0.0680794168664547,0.703311834245036,-0.080201833987039,-0.703054281428626,-0.00236194163421119,-5.01426202504795e-05,-0.000136721982093057
