Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],Beta0_1,Beta1,Beta2_1,Beta3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],Beta0_2,Beta1_2,Beta2_2,Beta3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
1180,-3610.91107083752,42310.2030666942,-0.000125110456129185,-3.05269244120117,-0.260533347766829,-5.74840564957814e-07,0.153525826161622,-0.03990210755179,-0.203768766035614,0.966082777251846,-0.000675582381660522,-0.000338958675558098,-1.13027095865381e-05,-3610.90169116786,42310.1996170429,0,-3.05268908114474,-0.260524191238463,0,0.153525826161622,-0.03990210755179,-0.203768766035614,0.966082777251846,-0.000675582381660522,-0.000338958675558098,0.00098869729041346
1190,-3641.43705471391,42307.5867138918,-0.000130928612939321,-3.05250357849482,-0.262735833791239,-5.88815308653519e-07,0.14826870731606,-0.0396313184905807,-0.207133323750465,0.966199531782958,-0.000680229382908133,-0.000343639974410802,-1.31311204979978e-05,-3641.4276394763,42307.5833627526,0,-3.05250031569762,-0.26272664412088,0,0.14826870731606,-0.0396313184905807,-0.207133323750465,0.966199531782958,-0.000680229382908133,-0.000343639974410802,0.000986868879502
1200,-3671.96114194522,42304.9483368916,-0.000136887252877616,-3.05231312644156,-0.26493818205021,-6.02937226096214e-07,0.143009405958101,-0.0393355729489865,-0.21051660173795,0.966273140939451,-0.00068485469322615,-0.000348336736201366,-1.49856672703688e-05,-3671.95169218506,42304.9450846164,0,-3.05230996122617,-0.264928960232259,0,0.143009405958101,-0.0393355729489865,-0.21051660173795,0.966273140939451,-0.00068485469322615,-0.000348336736201366,0.000985014332729629
1210,-3702.48331663824,42302.287937078,-0.000142987848760529,-3.05212108514898,-0.267140391394751,-6.17206534467538e-07,0.137748159975987,-0.039014590479631,-0.213918216942579,0.966303421608888,-0.00068945834558304,-0.000353048491273256,-1.68664974830574e-05,-3702.4738334044,42302.2847840077,0,-3.05211801782948,-0.267131138426153,0,0.137748159975987,-0.039014590479631,-0.213918216942579,0.966303421608888,-0.00068945834558304,-0.000353048491273256,0.000983133502516941
1220,-3733.0035629009,42299.6055158465,-0.000149231875616274,-3.05192745472546,-0.269342460675949,-6.31623458776972e-07,0.132485209370813,-0.0386680950649686,-0.217337781968443,0.966290192566941,-0.0006940403774188,-0.000357774768020952,-1.87737562551037e-05,-3732.99404724557,42299.6024623114,0,-3.05192448560749,-0.269333177556186,0,0.132485209370813,-0.0386680950649686,-0.217337781968443,0.966290192566941,-0.0006940403774188,-0.000357774768020952,0.000981226243744894
1230,-3763.5218648422,42296.9010746043,-0.000155620810758251,-3.0517322352802,-0.271544388744962,-6.46188230887949e-07,0.127220796257227,-0.0382958151644086,-0.220774905142114,0.966233274525392,-0.00069860083063669,-0.000362515092953914,-2.07075862064799e-05,-3763.5123178208,42296.898120924,0,-3.05172936466095,-0.271535076476054,0,0.127220796257227,-0.0382958151644086,-0.220774905142114,0.966233274525392,-0.00069860083063669,-0.000362515092953914,0.000979292413793518
1240,-3794.03820657223,42294.17461477,-0.000162156133848582,-3.05153542692317,-0.273746174453023,-6.60901088509932e-07,0.121955164863558,-0.037897483760416,-0.224229190576245,0.96613249017992,-0.000703139751593492,-0.000367268990760783,-2.26681274204478e-05,-3794.02862924338,42294.1717612531,0,-3.05153265509144,-0.273736834039527,0,0.121955164863558,-0.037897483760416,-0.224229190576245,0.96613249017992,-0.000703139751593492,-0.000367268990760783,0.00097733187257955
1250,-3824.55257220222,42291.4261377738,-0.00016883932695139,-3.05133702976517,-0.275947816651435,-6.7576227415787e-07,0.116688561531392,-0.0374728384035774,-0.227700238233848,0.965987664257656,-0.000707657191088332,-0.00037203598437379,-2.4655517406983e-05,-3824.54296562756,42291.4233847182,0,-3.05133435700135,-0.275938449100448,0,0.116688561531392,-0.0374728384035774,-0.227700238233848,0.965987664257656,-0.000707657191088332,-0.00037203598437379,0.000975344482593015
1260,-3855.06494584451,42288.6556450571,-0.000175671874575518,-3.0511370439178,-0.278149314191569,-6.90772034079312e-07,0.111421234714575,-0.0370216212566239,-0.231187643993212,0.965798623564498,-0.000712153204350027,-0.000376815595033345,-2.66698910672735e-05,-3855.05531108868,42288.6529927499,0,-3.05113447049394,-0.278139920512734,0,0.111421234714575,-0.0370216212566239,-0.231187643993212,0.965798623564498,-0.000712153204350027,-0.000376815595033345,0.000973330108932725
1270,-3885.57531161255,42285.8631380732,-0.000182655263706358,-3.05093546949345,-0.280350665924861,-7.05930617149624e-07,0.106153434977666,-0.0365435791374036,-0.23469099971346,0.965565197032167,-0.000716627851022994,-0.000381607342352762,-2.8711380659299e-05,-3885.56564974306,42285.8605867906,0,-3.05093299567325,-0.280341247130377,0,0.106153434977666,-0.0365435791374036,-0.23469099971346,0.965565197032167,-0.000716627851022994,-0.000381607342352762,0.000971288619340699
1280,-3916.08365362094,42283.0486182866,-0.000189790983826476,-3.05073230660535,-0.282551870702814,-7.21238273736404e-07,0.100885414993844,-0.0360384635607958,-0.238209893300703,0.96528721576501,-0.000721081195151698,-0.00038641074438311,-3.07801157644949e-05,-3916.07396570811,42283.0461682938,0,-3.05072993264418,-0.282542427807445,0,0.100885414993844,-0.0360384635607958,-0.238209893300703,0.96528721576501,-0.000721081195151698,-0.00038641074438311,0.000969219884235503
1290,-3946.58995598544,42280.2120871734,-0.000197080526924731,-3.05052755536753,-0.284752927376993,-7.36695254534026e-07,0.0956174295422606,-0.0355060307795586,-0.24174390877478,0.964964513086519,-0.000725513305163646,-0.000391225317678128,-3.28762232555082e-05,-3946.58024310227,42280.2097387247,0,-3.05052528151244,-0.28474346139808,0,0.0956174295422606,-0.0355060307795586,-0.24174390877478,0.964964513086519,-0.000725513305163646,-0.000391225317678128,0.00096712377674449
1300,-3977.09420282294,42277.3535462211,-0.000204525387493591,-3.05032121589483,-0.286953834799025,-7.52301809368472e-07,0.0903497355048594,-0.0349460418241055,-0.245292626336556,0.964596924585572,-0.000729924253850946,-0.0003960505773592,-3.49998272650457e-05,-3977.08446604504,42277.3512995599,0,-3.05031904238457,-0.286944346756504,0,0.0903497355048594,-0.0349460418241055,-0.245292626336556,0.964596924585572,-0.000729924253850946,-0.0003960505773592,0.000965000172734952
1310,-4007.59637825149,42274.4729969288,-0.000212127062514358,-3.05011328830293,-0.289154591820597,-7.68058185974014e-07,0.0850825918626593,-0.0343582625412034,-0.248855622435754,0.96418428816238,-0.000734314118350411,-0.000400886037180338,-3.715104915582e-05,-4007.586618657,42274.4708522875,0,-3.05011121536794,-0.289145082737013,0,0.0850825918626593,-0.0343582625412034,-0.248855622435754,0.96418428816238,-0.000734314118350411,-0.000400886037180338,0.000962848950844178
1320,-4038.09646639033,42271.570440807,-0.000219887051430017,-3.0499037727083,-0.291355197293456,-7.83964628742382e-07,0.0798162596915083,-0.0337424636315867,-0.2524324698393,0.963726444074126,-0.000738682980122233,-0.000405731209593156,-3.93300074915938e-05,-4038.0866850598,42271.5683984069,0,-3.04990180057074,-0.291345668193982,0,0.0798162596915083,-0.0337424636315867,-0.2524324698393,0.963726444074126,-0.000738682980122233,-0.000405731209593156,0.000960669992508404
1330,-4068.59445135985,42268.6458793777,-0.000227806856105444,-3.04969266922828,-0.293555650069406,-8.00021377445156e-07,0.0745510021573117,-0.0330984206864827,-0.256022737700156,0.963223234980302,-0.000743030924927224,-0.000410585605811787,-4.15368180093239e-05,-4068.58464937618,42268.6439394292,0,-3.04969079810199,-0.293546101981864,0,0.0745510021573117,-0.0330984206864827,-0.256022737700156,0.963223234980302,-0.000743030924927224,-0.000410585605811787,0.000958463181990674
1340,-4099.09031728164,42265.6993141744,-0.000235887980774711,-3.049479977981,-0.295755949000311,-8.16228665930279e-07,0.069287084510746,-0.0324259142230441,-0.259625991626613,0.962674505987719,-0.000747358042802627,-0.000415448735877722,-4.37715935924049e-05,-4099.08049572997,42265.6974768767,0,-3.04947820807155,-0.295746382955192,0,0.069287084510746,-0.0324259142230441,-0.259625991626613,0.962674505987719,-0.000747358042802627,-0.000415448735877722,0.000956228406407593
1350,-4129.58404827849,42262.7307467421,-0.000244131931975228,-3.04926569908544,-0.297956092938087,-8.32586720794291e-07,0.0640247740814578,-0.0317247297186842,-0.263241793752031,0.96208010469519,-0.000751664428036515,-0.000420320108724545,-4.60344442450126e-05,-4129.5742082461,42262.7290122833,0,-3.04926403059008,-0.297946509968577,0,0.0640247740814578,-0.0317247297186842,-0.263241793752031,0.96208010469519,-0.000751664428036515,-0.000420320108724545,0.000953965555754986
1360,-4160.07562847437,42259.7401786372,-0.000252540218468492,-3.04904983266142,-0.300156080734708,-8.49095760030742e-07,0.0587643402717581,-0.0309946576443112,-0.266869702804984,0.961439881237884,-0.000755950179140774,-0.000425199232242505,-4.83254770675445e-05,-4160.06577105064,42259.7385471943,0,-3.04904826576908,-0.300146481876712,0,0.0587643402717581,-0.0309946576443112,-0.266869702804984,0.961439881237884,-0.000755950179140774,-0.000425199232242505,0.000951674522932454
1370,-4190.56504199449,42256.7276114276,-0.000261114351147202,-3.0488323788296,-0.302355911242203,-8.65755991655612e-07,0.0535060545498169,-0.0302354934964593,-0.270509274179809,0.960753688331328,-0.000760215398822688,-0.000430085613342931,-5.06447962331557e-05,-4190.55516827073,42256.7260831666,0,-3.04883091372089,-0.302346297534369,0,0.0535060545498169,-0.0302354934964593,-0.270509274179809,0.960753688331328,-0.000760215398822688,-0.000430085613342931,0.000949355203766843
1380,-4221.05227296526,42253.6930466929,-0.000269855842928522,-3.04861333771147,-0.304555583312655,-8.82567612311533e-07,0.0482501904423608,-0.0294470378283141,-0.274160060007514,0.960021381315067,-0.000764460193955128,-0.000434978758022426,-5.29925029653871e-05,-4221.04238403467,42253.6916217683,0,-3.04861197455865,-0.304545955796402,0,0.0482501904423608,-0.0294470378283141,-0.274160060007514,0.960021381315067,-0.000764460193955128,-0.000434978758022426,0.000947007497034611
1390,-4251.53730551431,42250.6364860238,-0.000278766208633282,-3.04839270942937,-0.306755095798202,-8.99530805851488e-07,0.0429970235268869,-0.0286290962796302,-0.277821609227031,0.959242818195968,-0.00076868467554536,-0.000439878171426826,-5.53686955168813e-05,-4251.5274024719,42250.6351645791,0,-3.04839144839634,-0.306745455517748,0,0.0429970235268869,-0.0286290962796302,-0.277821609227031,0.959242818195968,-0.00076868467554536,-0.000439878171426826,0.000944631304483117
1400,-4282.02012377053,42247.5579310229,-0.00028784696485092,-3.0481704941065,-0.308954447551036,-9.16645741902749e-07,0.0377468314233914,-0.0277814796055396,-0.281493467656791,0.958417859691156,-0.000772888958702485,-0.000444783357914892,-5.7773469149181e-05,-4282.01020771298,42247.5567131902,0,-3.04816933534878,-0.308944795553424,0,0.0377468314233914,-0.0277814796055396,-0.281493467656791,0.958417859691156,-0.000772888958702485,-0.000444783357914892,0.000942226530850817
1410,-4312.50071186403,42244.4573833038,-0.000297099629789967,-3.0479466918669,-0.311153637423403,-9.3391257441335e-07,0.0324998937856237,-0.0269040037042514,-0.285175178066587,0.957546369270593,-0.000777073162603509,-0.000449693821121694,-6.02069161136056e-05,-4312.49078388964,42244.4562692042,0,-3.04794563553158,-0.311143974758533,0,0.0324998937856237,-0.0269040037042514,-0.285175178066587,0.957546369270593,-0.000777073162603509,-0.000449693821121694,0.000939793083886393
1420,-4342.97905392619,42241.334844492,-0.000306525723113914,-3.04772130283549,-0.313352664267602,-9.51331440180784e-07,0.027256492291872,-0.0259964896436406,-0.288866280249716,0.956628213199278,-0.000781237410458077,-0.00045460906402167,-6.26691256331973e-05,-4342.96911513477,42241.333834235,0,-3.0477203490612,-0.31334299198826,0,0.027256492291872,-0.0259964896436406,-0.288866280249716,0.956628213199278,-0.000781237410458077,-0.00045460906402167,0.000937330874366801
1430,-4373.45513408963,42238.1903162242,-0.000316126765762287,-3.04749432713803,-0.315551526935991,-9.68902457365103e-07,0.0220169106352843,-0.0250587636867279,-0.292566311095363,0.955663260579071,-0.000785381829471861,-0.000459528588991317,-6.51601838857313e-05,-4373.44518558242,42238.1894099081,0,-3.04749347605494,-0.315541846097875,0,0.0220169106352843,-0.0250587636867279,-0.292566311095363,0.955663260579071,-0.000785381829471861,-0.000459528588991317,0.000934839816114267
1440,-4403.92893648828,42235.0238001489,-0.000325904279756776,-3.04726576490115,-0.317750224280978,-9.86625723987718e-07,0.0167814345137334,-0.0240906573160511,-0.296274804661206,0.954651383390139,-0.000789506550808633,-0.000464451897871501,-6.768017398778e-05,-4403.91897936781,42235.0229978606,0,-3.04726501663089,-0.317740535942732,0,0.0167814345137334,-0.0240906573160511,-0.296274804661206,0.954651383390139,-0.000789506550808633,-0.000464451897871501,0.000932319826012218
1450,-4434.4004452573,42231.8352979256,-0.000335859787992284,-3.04703561625234,-0.319948755155031,-1.00450131641652e-06,0.0115503516192322,-0.0230920072569288,-0.299991292246223,0.953592456532013,-0.000793611709551026,-0.000469378492029333,-7.02291759798239e-05,-4434.39048062737,42231.8345997406,0,-3.047034970908,-0.319939060378272,0,0.0115503516192322,-0.0230920072569288,-0.299991292246223,0.953592456532013,-0.000793611709551026,-0.000469378492029333,0.000929770824020175
1460,-4464.86964453318,42228.6248112257,-0.000345994814012768,-3.04680388131999,-0.322147118410671,-1.02252928783881e-06,0.00632395162690167,-0.0220626554996192,-0.303715302463672,0.952486357864261,-0.000797697444660002,-0.000474307872419607,-7.2807266812398e-05,-4464.85967349871,42228.6242172082,0,-3.04680333900602,-0.322137418260021,0,0.00632395162690167,-0.0220626554996192,-0.303715302463672,0.952486357864261,-0.000797697444660002,-0.000474307872419607,0.0009271927331876
1470,-4495.33651845368,42225.392341732,-0.000356310881771751,-3.04657056023335,-0.324345312900481,-1.04070966672353e-06,0.00110252618350521,-0.0210024493203756,-0.307446361314222,0.951332968246767,-0.000801763898933046,-0.000479239539645751,-7.54145203332644e-05,-4495.32654212063,42225.3918519344,0,-3.04657012104553,-0.324335608443591,0,0.00110252618350521,-0.0210024493203756,-0.307446361314222,0.951332968246767,-0.000801763898933046,-0.000479239539645751,0.000924585479666734
1480,-4525.80105115787,42222.1378911385,-0.000366809515377412,-3.04633565312254,-0.326543337477098,-1.0590424552742e-06,0.00411363110445361,0.0199112413014025,0.31118399225921,-0.950132171579614,-0.000805811218961094,-0.000484172994020282,-7.80510072755981e-05,-4525.79107063316,42222.1375056021,0,-3.04633531714796,-0.326533629784685,0,0.00411363110445361,0.0199112413014025,0.31118399225921,-0.950132171579614,-0.000805811218961094,-0.000484172994020282,0.0009219489927244
1490,-4556.26322678614,42218.861461151,-0.00037749223882216,-3.04609916011857,-0.328741190993224,-1.07752762787317e-06,0.00932422468305452,0.0187888893497149,0.314927716294004,-0.948883854842576,-0.000809839555084215,-0.000489107735624717,-8.07167952471754e-05,-4556.25324317754,42218.8611799054,0,-3.04609892743554,-0.328731481139089,0,0.00932422468305452,0.0187888893497149,0.314927716294004,-0.948883854842576,-0.000809839555084215,-0.000489107735624717,0.000919283204752823
1500,-4586.72302948021,42215.5630534865,-0.000388360575696612,-3.04586108135336,-0.330938872301618,-1.0961651295194e-06,0.0145289570637078,0.0176352567149061,0.318677052021445,-0.947587908134207,-0.000813849061346068,-0.000494043264368932,-8.34119487205518e-05,-4586.71304389623,42215.5628765498,0,-3.04586095203133,-0.33092916136268,0,0.0145289570637078,0.0176352567149061,0.318677052021445,-0.947587908134207,-0.000813849061346068,-0.000494043264368932,0.000916588051279447
1510,-4617.1804433831,42212.2426698738,-0.000399416048887931,-3.04562141695969,-0.333136380255104,-1.11495487426057e-06,0.019727528836312,0.016450212005826,0.322431515725346,-0.94624422471053,-0.000817839895447146,-0.000498979080049932,-8.61365290242151e-05,-4617.17045693294,42212.2425972523,0,-3.04562139105922,-0.333126669311424,0,0.019727528836312,0.016450212005826,0.322431515725346,-0.94624422471053,-0.000817839895447146,-0.000498979080049932,0.000913863470975783
1520,-4647.63545263921,42208.9003120529,-0.000410660180262445,-3.04538016707126,-0.335333713706572,-1.13389674362086e-06,0.0249196386828188,0.0152336292061781,0.326190621444029,-0.944852701023331,-0.000821812218696827,-0.000503914682410004,-8.88905943346997e-05,-4647.62546643261,42208.9003437416,0,-3.04538024464393,-0.335324003841377,0,0.0249196386828188,0.0152336292061781,0.326190621444029,-0.944852701023331,-0.000821812218696827,-0.000503914682410004,0.000911109405665299
1530,-4678.08804139427,42205.5359817753,-0.000422094490332551,-3.04513733182265,-0.337530871508978,-1.15299058502606e-06,0.0301049833912034,0.0139853876890387,0.329953881043867,-0.943413236758046,-0.00082576619596425,-0.000508849571194244,-9.16741996696481e-05,-4678.07805654143,42205.5361177574,0,-3.04513751291099,-0.337521163808685,0,0.0301049833912034,0.0139853876890387,0.329953881043867,-0.943413236758046,-0.00082576619596425,-0.000508849571194244,0.00090832580033035
1540,-4708.53819379537,42202.1496808041,-0.000433720497907842,-3.04489291134936,-0.339727852515346,-1.1722362102276e-06,0.0352832578698265,0.0127053722303039,0.333720804292822,-0.941925734871244,-0.000829701995628042,-0.00051378324620741,-9.44873968818025e-05,-4708.52821140686,42202.1499210511,0,-3.04489319598676,-0.339718148069584,0,0.0352832578698265,0.0127053722303039,0.333720804292822,-0.941925734871244,-0.000829701995628042,-0.00051378324620741,0.000905512603118196
1550,-4738.98589399096,42198.7414109138,-0.000445539719730486,-3.04464690578779,-0.341924655578773,-1.19163339372586e-06,0.0404541551621875,0.0113934730210736,0.337490898933948,-0.940390101627717,-0.000833619789524897,-0.000518715207370096,-9.73302346539114e-05,-4738.97591517761,42198.7417553855,0,-3.04464729399845,-0.341914955480402,0,0.0404541551621875,0.0113934730210736,0.337490898933948,-0.940390101627717,-0.000833619789524897,-0.000518715207370096,0.000902669765346087
1560,-4769.43112613089,42195.3111738903,-0.000457553670094833,-3.04439931527525,-0.344121279552429,-1.21118187119535e-06,0.0456173664620629,0.0100495856789754,0.341263670758839,-0.938806246637159,-0.000837519752897058,-0.000523644954774198,-0.000100202758494534,-4769.4211520037,42195.3116225348,0,-3.04439980707405,-0.344111584897561,0,0.0456173664620629,0.0100495856789754,0.341263670758839,-0.938806246637159,-0.000837519752897058,-0.000523644954774199,0.000899797241505465
1570,-4799.87387436638,42191.8589715311,-0.000469763860451302,-3.04415013994997,-0.34631772328956,-1.23088133791266e-06,0.0507725811290226,0.0086736112584395,0.345038623680998,-0.937174082890451,-0.000841402064338686,-0.000528571988737648,-0.000103105010734722,-4799.8639060364,42191.8595242847,0,-3.04415073534242,-0.346308035177571,0,0.0507725811290226,0.0086736112584395,0.345038623680998,-0.937174082890451,-0.000841402064338686,-0.000528571988737648,0.000896894989265276
1580,-4830.31412285004,42188.3848056451,-0.000482171798994549,-3.0438993799511,-0.348513985643491,-1.25073144718839e-06,0.0559194867043197,0.00726545625993048,0.348815259809115,-0.935493526795541,-0.000845266905741168,-0.00053349580985839,-0.000106037030525572,-4830.30416142829,42188.3854624322,0,-3.04390007893321,-0.348504305177041,0,0.0559194867043197,0.00726545625993048,0.348815259809115,-0.935493526795541,-0.000845266905741168,-0.00053349580985839,0.000893962969474426
1590,-4860.7518557359,42184.8886780526,-0.000494778990235995,-3.04364703541871,-0.35071006546763,-1.27073180880482e-06,0.0610577689271496,0.00582503263814496,0.35259307952022,-0.933764498212933,-0.000849114462237366,-0.000538415919067594,-0.000108998853836607,-4860.74190233324,42184.8894387859,0,-3.04364783797692,-0.350700393752669,0,0.0610577689271496,0.00582503263814496,0.35259307952022,-0.933764498212933,-0.000849114462237366,-0.000538415919067594,0.000891001146163391
1600,-4891.18705717939,42181.3705905854,-0.000507586934560759,-3.04339310649378,-0.352905961615471,-1.29088198746063e-06,0.0661871117512692,0.00435225780918375,0.356371581532701,-0.93198692049077,-0.000852944922144839,-0.000543331817682065,-0.000111990513454996,-4891.17711290645,42181.3714551657,0,-3.04339401260486,-0.35289629976125,0,0.0661871117512692,0.00435225780918375,0.356371581532701,-0.93198692049077,-0.000852944922144839,-0.000543331817682065,0.000888009486545003
1610,-4921.61971133737,42177.830545087,-0.000520597127769078,-3.04313759331825,-0.355101672940595,-1.31118150122399e-06,0.0713071973619776,0.00284705465670739,0.360150262979161,-0.930160720499529,-0.000856758476908057,-0.000548243007455847,-0.000115012038985567,-4921.6097773044,42177.831513403,0,-3.04313860294917,-0.355092022059674,0,0.0713071973619776,0.00284705465670739,0.360150262979161,-0.930160720499529,-0.000856758476908057,-0.000548243007455847,0.000884987961014431
1620,-4952.04980236814,42174.2685434119,-0.00053381106060231,-3.04288049603497,-0.357297198296674,-1.33162981999559e-06,0.0764177061934466,0.00130935153708529,0.363928619479093,-0.928285828666325,-0.000860555321039622,-0.000553148990630989,-0.000118063456851614,-4952.03987968493,42174.2696153407,0,-3.04288160914281,-0.357287559504927,0,0.0764177061934466,0.00130935153708529,0.363928619479093,-0.928285828666325,-0.000860555321039622,-0.000553148990630989,0.000881936543148384
1630,-4982.47731443142,42170.6845874266,-0.000547230218253622,-3.04262181478774,-0.359492536537479,-1.35222636398302e-06,0.0815183169464025,-0.000260917716451323,0.367706145211362,-0.926362179008822,-0.000864335652060539,-0.00055804926998747,-0.000121144790296456,-4982.4674042072,42170.6857628329,0,-3.04262303131958,-0.359482910954088,0,0.0815183169464025,-0.000260917716451323,0.367706145211362,-0.926362179008822,-0.000864335652060539,-0.00055804926998747,0.000878855209703542
1640,-5012.90223168841,42167.0786790085,-0.000560856079863481,-3.04236154972128,-0.361687686516878,-1.37297050218784e-06,0.0866087066061495,-0.00186381379064337,0.371482332986462,-0.924389709168757,-0.000868099670439532,-0.00056294334889225,-0.000124256059385747,-5012.89233503171,42167.0799577454,0,-3.04236286961408,-0.361678075264337,0,0.0866087066061495,-0.00186381379064337,0.371482332986462,-0.924389709168757,-0.000868099670439532,-0.00056294334889225,0.000875743940614251
1650,-5043.32453830175,42163.4508200469,-0.000574690118000088,-3.04209970098129,-0.363882647088843,-1.39386155090672e-06,0.0916885504609337,-0.00349939189001309,0.375256674318543,-0.922368360445088,-0.000871847579531458,-0.000567830731347445,-0.000127397281010501,-5043.31465632032,42163.4522019552,0,-3.04210112416176,-0.36387305129295,0,0.0916885504609337,-0.00349939189001309,0.375256674318543,-0.922368360445088,-0.000871847579531458,-0.000567830731347445,0.000872602718989497
1660,-5073.74421843556,42159.8010124424,-0.000588733798124897,-3.04183626871437,-0.366077417107453,-1.41489877224802e-06,0.0967575221206419,-0.00516770173563652,0.379028659497176,-0.920298077826754,-0.000875579585514816,-0.0005727109220376,-0.000130568468890816,-5073.73435223624,42159.8024973509,0,-3.04183779509887,-0.3660678378973,0,0.0967575221206419,-0.00516770173563652,0.379028659497176,-0.920298077826754,-0.000875579585514816,-0.0005727109220376,0.000869431531109182
1670,-5104.16125625543,42156.1292581071,-0.000602988578043392,-3.04157125306811,-0.3682719954269,-1.43608137266598e-06,0.101815293535833,-0.00686878756486966,0.382797777658849,-0.918178810025067,-0.000879295897328393,-0.000577583426376057,-0.000133769633580273,-5104.15140694406,42156.1308458325,0,-3.04157288256251,-0.368262433934858,0,0.101815293535833,-0.00686878756486966,0.382797777658849,-0.918178810025067,-0.000879295897328393,-0.000577583426376057,0.000866230366419725
1680,-5134.57563592844,42152.4355589644,-0.000617455907341282,-3.04130465419104,-0.37046638090149,-1.45740850151226e-06,0.106861535017094,-0.00860268813201433,0.386563516858172,-0.916010509505724,-0.000882996726607067,-0.00058244775055039,-0.000137000782470989,-5134.56580460971,42152.4372493113,0,-3.04130638669058,-0.370456838263198,0,0.106861535017094,-0.00860268813201433,0.386563516858172,-0.916010509505724,-0.000882996726607067,-0.00058244775055039,0.00086299921752901
1690,-5164.98734162318,42148.7199169493,-0.000632137226806325,-3.04103647223263,-0.372660572385651,-1.47887924960798e-06,0.111895915254723,-0.0103694367099125,0.390325364138771,-0.913793132520464,-0.000886682287616786,-0.000587303401566914,-0.000140261919799293,-5164.97752940054,42148.7217097101,0,-3.04103830762182,-0.37265104973999,0,0.111895915254723,-0.0103694367099125,0.390325364138771,-0.913793132520464,-0.000886682287616786,-0.000587303401566914,0.000859738080200705
1700,-5195.39635750975,42144.9823340083,-0.000647033967835965,-3.04076670734332,-0.374854568733937,-1.50049264783704e-06,0.116918101338732,-0.0121690610924566,0.394082805603864,-0.911526639138353,-0.000890352797188753,-0.000592149887294234,-0.000143553046652019,-5195.38656548529,42144.9842289631,0,-3.04076864549579,-0.374845067223006,0,0.116918101338732,-0.0121690610924566,0.394082805603864,-0.911526639138353,-0.000890352797188753,-0.000592149887294234,0.000856446953347979
1710,-5225.80266775975,42141.2228120993,-0.000662147551831017,-3.04049535967452,-0.377048368801031,-1.52224766576093e-06,0.121927758779165,-0.0140015835980022,0.397835326486489,-0.909210993276713,-0.000894008474652838,-0.000596986716505845,-0.000146874160973364,-5225.79289703407,42141.2248090161,0,-3.04049740045287,-0.377038889570118,0,0.121927758779165,-0.0140015835980022,0.397835326486489,-0.909210993276713,-0.000894008474652838,-0.000596986716505845,0.000853125839026634
1720,-5256.20625654631,42137.4413531915,-0.000677479389575624,-3.04022242937859,-0.379241971441752,-1.54414321025872e-06,0.126924551526734,-0.0158670210736699,0.401582411219381,-0.906846162731702,-0.000897649541770248,-0.000601813398921754,-0.000150225257572319,-5256.19650821843,42137.443451826,0,-3.04022457263426,-0.379232515639302,0,0.126924551526734,-0.0158670210736699,0.401582411219381,-0.906846162731702,-0.000897649541770248,-0.000601813398921754,0.00084977474242768
1730,-5286.60710804413,42133.6379592657,-0.000693030880603729,-3.03994791660887,-0.381435375511058,-1.56617812419158e-06,0.131908141993762,-0.0177653849005239,0.405323543504479,-0.904432119208546,-0.000901276222665473,-0.000606629445249134,-0.000153606328130617,-5286.59738321131,42133.6401593614,0,-3.03995016218201,-0.381425944288633,0,0.131908141993762,-0.0177653849005239,0.405323543504479,-0.904432119208546,-0.000901276222665473,-0.000606629445249134,0.000846393671869381
1740,-5317.00520642941,42129.8126323142,-0.000708803412552335,-3.03967182151966,-0.383628579864055,-1.58835118509384e-06,0.136878191075437,-0.0196966809996116,0.409058206382041,-0.901968838351427,-0.000904888743757537,-0.000611434367221986,-0.000157017361211204,-5316.9955061871,42129.8149336021,0,-3.03967416923897,-0.38361917437629,0,0.136878191075437,-0.0196966809996116,0.409058206382041,-0.901968838351427,-0.000904888743757537,-0.000611434367221986,0.000842982638788794
1750,-5347.40053587994,42125.9653743407,-0.000724798360501804,-3.03939414426623,-0.385821583355998,-1.61066110389207e-06,0.141834358171378,-0.0216609098388515,0.412785882299364,-0.899456299773036,-0.000908487333690577,-0.000616227677639812,-0.00016045834226718,-5347.3908613216,42125.9677765395,0,-3.03939659394881,-0.385812204760557,0,0.141834358171378,-0.0216609098388515,0.412785882299364,-0.899456299773036,-0.000908487333690577,-0.000616227677639813,0.000839541657732818
1760,-5377.79308057507,42122.0961873603,-0.000741017086303496,-3.03911488500482,-0.3880143848423,-1.63310652365369e-06,0.146776301207495,-0.0236580664407553,0.416506053179093,-0.896894487083796,-0.000912072223263781,-0.000621008890405292,-0.000163929253651201,-5377.78343279206,42122.0986901764,0,-3.03911743645603,-0.38800503429982,0,0.146776301207495,-0.0236580664407553,0.416506053179093,-0.896894487083796,-0.000912072223263781,-0.000621008890405293,0.000836070746348797
