      Time    Hgtkm GeocenLat  Lon(East)   DensMean   PresMean    Tmean   EWmean   NSmean   DensPert   PresPert    Tpert   EWpert  NSpert SDden% SDprs% SDtemK SDuwnd SDvwnd SDwwnd Wpert SpdAvg  SpdStd SOSmean SOSpert Sev
      0.00  188.000  40.00000 -105.27000 5.8838e-010 2.4520e-004 1170.04   80.85  -13.39 5.4528e-010 2.3683e-004 1219.39   93.17   36.21   5.92   7.14  94.77  87.00  87.00  12.00  -3.17 126.00  77.33  763.84  779.78   0
      0.00  187.500  40.00000 -105.27000 5.9708e-010 2.4795e-004 1166.78   80.16  -13.27 5.5213e-010 2.4086e-004 1225.74   81.10   51.96   5.91   7.14  94.51  87.00  87.00  12.00  -5.15 125.54  77.33  762.47  781.50   0
      0.00  187.000  40.00000 -105.27000 6.0596e-010 2.5073e-004 1163.50   79.47  -13.15 5.4863e-010 2.4324e-004 1246.70   53.20   33.79   5.91   7.14  94.24  87.00  87.00  12.00  -3.62 125.09  77.33  761.10  787.84   0
      0.00  186.500  40.00000 -105.27000 6.1502e-010 2.5355e-004 1160.18   78.78  -13.04 5.5614e-010 2.4701e-004 1249.94   71.08   33.72   5.90   7.13  93.97  87.00  87.00  12.00   2.22 124.64  77.33  759.71  788.56   0
      0.00  186.000  40.00000 -105.27000 6.2426e-010 2.5642e-004 1156.84   78.10  -12.92 5.7530e-010 2.5002e-004 1223.97   86.76  -21.71   5.89   7.13  93.70  87.00  87.00  12.00  -3.83 124.20  77.33  758.32  780.01   0
      0.00  185.500  40.00000 -105.27000 6.3369e-010 2.5933e-004 1153.47   77.41  -12.81 5.8107e-010 2.5360e-004 1230.18   91.86  -29.97   5.88   7.13  93.43  87.00  87.00  12.00  -6.61 123.75  77.33  756.92  781.68   0
      0.00  185.000  40.00000 -105.27000 6.4331e-010 2.6228e-004 1150.07   76.73  -12.69 5.9457e-010 2.5626e-004 1215.82   92.77  -54.13   5.88   7.13  93.16  87.00  87.00  12.00  -9.93 123.32  77.33  755.50  776.80   0
      0.00  184.500  40.00000 -105.27000 6.5313e-010 2.6528e-004 1146.65   76.05  -12.57 6.1250e-010 2.5890e-004 1193.30   55.17  -64.97   5.87   7.12  92.88  87.00  87.00  11.99 -11.89 122.88  77.33  754.08  769.26   0
      0.00  184.000  40.00000 -105.27000 6.6315e-010 2.6832e-004 1143.19   75.37  -12.46 6.3637e-010 2.5867e-004 1148.44   28.72  -57.35   5.86   7.12  92.60  87.00  87.00  11.99  -7.17 122.45  77.33  752.64  754.37   0
      0.00  183.500  40.00000 -105.27000 6.7339e-010 2.7142e-004 1139.71   74.69  -12.34 6.6458e-010 2.6150e-004 1112.63   14.49  -42.81   5.85   7.12  92.32  87.00  87.00  11.99  -7.82 122.02  77.33  751.19  742.21   0
