ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
   89.5 3.817E-09  196.4
   90.0 3.516E-09  196.0
   90.5 3.238E-09  195.6
   91.0 2.981E-09  195.2
   91.5 2.744E-09  194.8
   92.0 2.526E-09  194.5
   92.5 2.325E-09  194.1
   93.0 2.139E-09  193.8
   93.5 1.968E-09  193.5
   94.0 1.810E-09  193.2
   94.5 1.665E-09  192.9
   95.0 1.530E-09  192.7
   95.5 1.407E-09  192.5
   96.0 1.293E-09  192.3
   96.5 1.188E-09  192.2
   97.0 1.091E-09  192.2
   97.5 1.002E-09  192.1
   98.0 9.205E-10  192.2
   98.5 8.452E-10  192.3
   99.0 7.758E-10  192.4
   99.5 7.120E-10  192.6
  100.0 6.533E-10  192.9
  100.5 5.993E-10  193.2
  101.0 5.497E-10  193.6
  101.5 5.042E-10  194.1
  102.0 4.623E-10  194.7
  102.5 4.239E-10  195.3
  103.0 3.887E-10  196.1
  103.5 3.563E-10  196.9
  104.0 3.266E-10  197.8
  104.5 2.994E-10  198.9
  105.0 2.744E-10  200.0
  105.5 2.515E-10  201.3
  106.0 2.306E-10  202.7
  106.5 2.114E-10  204.2
  107.0 1.938E-10  205.8
  107.5 1.776E-10  207.6
  108.0 1.629E-10  209.6
  108.5 1.493E-10  211.7
  109.0 1.370E-10  214.0
  109.5 1.256E-10  216.4
  110.0 1.152E-10  219.1
  110.5 1.057E-10  222.1
  111.0 9.702E-11  225.2
  111.5 8.906E-11  228.6
  112.0 8.178E-11  232.2
  112.5 7.512E-11  236.0
  113.0 6.905E-11  240.1
  113.5 6.349E-11  244.4
  114.0 5.842E-11  248.9
  114.5 5.379E-11  253.8
  115.0 4.956E-11  258.8
  115.5 4.570E-11  264.1
  116.0 4.217E-11  269.6
  116.5 3.894E-11  275.4
  117.0 3.600E-11  281.5
  117.5 3.330E-11  287.7
  118.0 3.084E-11  294.2
  118.5 2.859E-11  301.0
  119.0 2.654E-11  307.9
  119.5 2.466E-11  315.0
  120.0 2.294E-11  322.3
  120.5 2.136E-11  329.7
  121.0 1.993E-11  337.2
  121.5 1.861E-11  344.8
  122.0 1.741E-11  352.4
  122.5 1.631E-11  359.9
  123.0 1.530E-11  367.4
  123.5 1.444E-11  373.1
  124.0 1.361E-11  379.8
  124.5 1.285E-11  386.3
  125.0 1.214E-11  392.8
  125.5 1.149E-11  399.1
  126.0 1.089E-11  405.3
  126.5 1.033E-11  411.3
  127.0 9.805E-12  417.2
  127.5 9.321E-12  423.0
  128.0 8.869E-12  428.7
  128.5 8.448E-12  434.3
  129.0 8.054E-12  439.8
  129.5 7.685E-12  445.1
  130.0 7.339E-12  450.4
  130.5 7.015E-12  455.5
  131.0 6.710E-12  460.6
  131.5 6.423E-12  465.5
  132.0 6.152E-12  470.3
  132.5 5.897E-12  475.1
  133.0 5.657E-12  479.7
  133.5 5.429E-12  484.3
  134.0 5.214E-12  488.7
  134.5 5.011E-12  493.1
  135.0 4.818E-12  497.4
  135.5 4.635E-12  501.6
  136.0 4.462E-12  505.7
  136.5 4.297E-12  509.7
  137.0 4.140E-12  513.7
  137.5 3.991E-12  517.6
  138.0 3.849E-12  521.4
  138.5 3.714E-12  525.1
  139.0 3.585E-12  528.7
  139.5 3.462E-12  532.3
  140.0 3.344E-12  535.8
  140.5 3.232E-12  539.2
  141.0 3.125E-12  542.6
  141.5 3.022E-12  545.9
  142.0 2.924E-12  549.1
  142.5 2.830E-12  552.3
  143.0 2.740E-12  555.4
  143.5 2.654E-12  558.4
  144.0 2.571E-12  561.4
  144.5 2.492E-12  564.3
  145.0 2.416E-12  567.1
  145.5 2.342E-12  569.9
  146.0 2.272E-12  572.7
  146.5 2.204E-12  575.4
  147.0 2.139E-12  578.0
  147.5 2.077E-12  580.6
  148.0 2.016E-12  583.1
  148.5 1.958E-12  585.6
  149.0 1.903E-12  588.0
  149.5 1.849E-12  590.4
