ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K
  367.0 1.516E-15  708.2
  367.5 1.498E-15  708.2
  368.0 1.479E-15  708.2
  368.5 1.461E-15  708.2
  369.0 1.444E-15  708.2
  369.5 1.426E-15  708.2
  370.0 1.409E-15  708.2
  370.5 1.392E-15  708.2
  371.0 1.375E-15  708.2
  371.5 1.359E-15  708.2
  372.0 1.342E-15  708.2
  372.5 1.326E-15  708.2
  373.0 1.310E-15  708.2
  373.5 1.294E-15  708.2
  374.0 1.279E-15  708.2
  374.5 1.263E-15  708.2
  375.0 1.248E-15  708.2
  375.5 1.233E-15  708.2
  376.0 1.218E-15  708.2
  376.5 1.204E-15  708.2
  377.0 1.189E-15  708.2
  377.5 1.175E-15  708.2
  378.0 1.161E-15  708.2
  378.5 1.147E-15  708.2
  379.0 1.133E-15  708.2
  379.5 1.120E-15  708.2
  380.0 1.106E-15  708.2
  380.5 1.093E-15  708.2
  381.0 1.080E-15  708.2
  381.5 1.067E-15  708.2
  382.0 1.054E-15  708.2
  382.5 1.042E-15  708.2
  383.0 1.029E-15  708.2
  383.5 1.017E-15  708.2
  384.0 1.005E-15  708.2
  384.5 9.930E-16  708.2
  385.0 9.812E-16  708.2
  385.5 9.696E-16  708.2
  386.0 9.581E-16  708.2
  386.5 9.467E-16  708.2
  387.0 9.355E-16  708.2
  387.5 9.244E-16  708.2
  388.0 9.134E-16  708.2
  388.5 9.026E-16  708.2
  389.0 8.919E-16  708.2
  389.5 8.813E-16  708.2
  390.0 8.709E-16  708.2
  390.5 8.606E-16  708.2
  391.0 8.505E-16  708.2
  391.5 8.404E-16  708.2
  392.0 8.305E-16  708.2
  392.5 8.207E-16  708.2
  393.0 8.110E-16  708.2
  393.5 8.015E-16  708.2
  394.0 7.920E-16  708.2
  394.5 7.827E-16  708.2
  395.0 7.735E-16  708.2
  395.5 7.644E-16  708.2
  396.0 7.554E-16  708.2
  396.5 7.466E-16  708.2
  397.0 7.378E-16  708.2
  397.5 7.292E-16  708.2
  398.0 7.206E-16  708.2
  398.5 7.122E-16  708.2
  399.0 7.038E-16  708.2
  399.5 6.956E-16  708.2
  400.0 6.874E-16  708.2
  400.5 6.794E-16  708.2
  401.0 6.715E-16  708.2
  401.5 6.636E-16  708.2
  402.0 6.559E-16  708.2
  402.5 6.482E-16  708.2
  403.0 6.407E-16  708.2
  403.5 6.332E-16  708.2
  404.0 6.258E-16  708.2
  404.5 6.185E-16  708.2
  405.0 6.113E-16  708.2
  405.5 6.042E-16  708.2
  406.0 5.972E-16  708.2
  406.5 5.903E-16  708.2
  407.0 5.834E-16  708.2
  407.5 5.767E-16  708.2
  408.0 5.700E-16  708.2
  408.5 5.634E-16  708.2
  409.0 5.568E-16  708.2
  409.5 5.504E-16  708.2
  410.0 5.440E-16  708.2
  410.5 5.377E-16  708.2
  411.0 5.315E-16  708.2
  411.5 5.254E-16  708.2
  412.0 5.193E-16  708.2
  412.5 5.133E-16  708.2
  413.0 5.074E-16  708.2
  413.5 5.016E-16  708.2
  414.0 4.958E-16  708.2
  414.5 4.901E-16  708.2
  415.0 4.844E-16  708.2
  415.5 4.789E-16  708.2
  416.0 4.734E-16  708.2
  416.5 4.679E-16  708.2
  417.0 4.625E-16  708.2
  417.5 4.572E-16  708.3
  418.0 4.520E-16  708.3
  418.5 4.468E-16  708.3
  419.0 4.417E-16  708.3
  419.5 4.366E-16  708.3
  420.0 4.316E-16  708.3
  420.5 4.267E-16  708.3
  421.0 4.218E-16  708.3
  421.5 4.170E-16  708.3
  422.0 4.123E-16  708.3
  422.5 4.075E-16  708.3
  423.0 4.029E-16  708.3
  423.5 3.983E-16  708.3
  424.0 3.938E-16  708.3
  424.5 3.893E-16  708.3
  425.0 3.849E-16  708.3
  425.5 3.805E-16  708.3
  426.0 3.762E-16  708.3
  426.5 3.719E-16  708.3
  427.0 3.677E-16  708.3
  427.5 3.635E-16  708.3
  428.0 3.594E-16  708.3
  428.5 3.553E-16  708.3
  429.0 3.513E-16  708.3
  429.5 3.473E-16  708.3
  430.0 3.434E-16  708.3
  430.5 3.395E-16  708.3
  431.0 3.357E-16  708.3
  431.5 3.319E-16  708.3
  432.0 3.281E-16  708.3
  432.5 3.244E-16  708.3
  433.0 3.208E-16  708.3
  433.5 3.172E-16  708.3
  434.0 3.136E-16  708.3
  434.5 3.101E-16  708.3
  435.0 3.066E-16  708.3
  435.5 3.031E-16  708.3
  436.0 2.997E-16  708.3
  436.5 2.964E-16  708.3
  437.0 2.930E-16  708.3
  437.5 2.898E-16  708.3
  438.0 2.865E-16  708.3
  438.5 2.833E-16  708.3
  439.0 2.801E-16  708.3
  439.5 2.770E-16  708.3
  440.0 2.739E-16  708.3
  440.5 2.709E-16  708.3
  441.0 2.678E-16  708.3
  441.5 2.648E-16  708.3
  442.0 2.619E-16  708.3
  442.5 2.590E-16  708.3
  443.0 2.561E-16  708.3
  443.5 2.532E-16  708.3
  444.0 2.504E-16  708.3
  444.5 2.477E-16  708.3
  445.0 2.449E-16  708.3
  445.5 2.422E-16  708.3
  446.0 2.395E-16  708.3
  446.5 2.368E-16  708.3
  447.0 2.342E-16  708.3
  447.5 2.316E-16  708.3
  448.0 2.291E-16  708.3
  448.5 2.265E-16  708.3
  449.0 2.240E-16  708.3
  449.5 2.216E-16  708.3
  450.0 2.191E-16  708.3
  450.5 2.167E-16  708.3
  451.0 2.143E-16  708.3
  451.5 2.120E-16  708.3
  452.0 2.096E-16  708.3
  452.5 2.073E-16  708.3
  453.0 2.051E-16  708.3
  453.5 2.028E-16  708.3
  454.0 2.006E-16  708.3
  454.5 1.984E-16  708.3
  455.0 1.962E-16  708.3
  455.5 1.941E-16  708.3
  456.0 1.919E-16  708.3
  456.5 1.898E-16  708.3
  457.0 1.878E-16  708.3
  457.5 1.857E-16  708.3
  458.0 1.837E-16  708.3
  458.5 1.817E-16  708.3
  459.0 1.797E-16  708.3
  459.5 1.778E-16  708.3
  460.0 1.758E-16  708.3
  460.5 1.739E-16  708.3
  461.0 1.720E-16  708.3
  461.5 1.702E-16  708.3
  462.0 1.683E-16  708.3
  462.5 1.665E-16  708.3
  463.0 1.647E-16  708.3
  463.5 1.629E-16  708.3
  464.0 1.612E-16  708.3
  464.5 1.594E-16  708.3
  465.0 1.577E-16  708.3
  465.5 1.560E-16  708.3
  466.0 1.543E-16  708.3
  466.5 1.527E-16  708.3
  467.0 1.510E-16  708.3
  467.5 1.494E-16  708.3
  468.0 1.478E-16  708.3
  468.5 1.462E-16  708.3
  469.0 1.447E-16  708.3
  469.5 1.431E-16  708.3
  470.0 1.416E-16  708.3
  470.5 1.401E-16  708.3
  471.0 1.386E-16  708.3
  471.5 1.371E-16  708.3
  472.0 1.356E-16  708.3
  472.5 1.342E-16  708.3
  473.0 1.328E-16  708.3
  473.5 1.313E-16  708.3
  474.0 1.299E-16  708.3
  474.5 1.286E-16  708.3
  475.0 1.272E-16  708.3
  475.5 1.259E-16  708.3
  476.0 1.245E-16  708.3
  476.5 1.232E-16  708.3
  477.0 1.219E-16  708.3
  477.5 1.206E-16  708.3
  478.0 1.193E-16  708.3
  478.5 1.181E-16  708.3
  479.0 1.168E-16  708.3
  479.5 1.156E-16  708.3
  480.0 1.144E-16  708.3
  480.5 1.132E-16  708.3
  481.0 1.120E-16  708.3
  481.5 1.108E-16  708.3
  482.0 1.097E-16  708.3
  482.5 1.085E-16  708.3
  483.0 1.074E-16  708.3
  483.5 1.063E-16  708.3
  484.0 1.052E-16  708.3
  484.5 1.041E-16  708.3
  485.0 1.030E-16  708.3
  485.5 1.019E-16  708.3
  486.0 1.008E-16  708.3
  486.5 9.980E-17  708.3
  487.0 9.876E-17  708.3
  487.5 9.774E-17  708.3
  488.0 9.673E-17  708.3
  488.5 9.573E-17  708.3
  489.0 9.474E-17  708.3
  489.5 9.376E-17  708.3
  490.0 9.280E-17  708.3
  490.5 9.184E-17  708.3
  491.0 9.089E-17  708.3
  491.5 8.996E-17  708.3
  492.0 8.904E-17  708.3
  492.5 8.812E-17  708.3
  493.0 8.722E-17  708.3
  493.5 8.633E-17  708.3
  494.0 8.545E-17  708.3
  494.5 8.457E-17  708.3
  495.0 8.371E-17  708.3
  495.5 8.286E-17  708.3
  496.0 8.201E-17  708.3
  496.5 8.118E-17  708.3
  497.0 8.035E-17  708.3
  497.5 7.954E-17  708.3
  498.0 7.873E-17  708.3
  498.5 7.794E-17  708.3
  499.0 7.715E-17  708.3
  499.5 7.637E-17  708.3
