     Time  HgtMOLA LatPC   LonE    Denkgm3   Temp  EWind  NWind  sigD  Ls   Dust  LTST CO2%m  N2%m  Ar%m  O2%m  CO%m   O%m  He%m  H2%m   H%m H2O%m  DensP
        0.  16.00  18.44   77.45 3.541E-03  188.9   41.3   -4.3   2.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.992
        0.  16.50  18.44   77.45 3.379E-03  187.8   41.9   -4.7   2.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.989
        0.  17.00  18.44   77.45 3.224E-03  186.7   42.5   -5.1   2.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.996
        0.  17.50  18.44   77.45 3.076E-03  185.5   43.1   -5.5   2.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.007
        0.  18.00  18.44   77.45 2.935E-03  184.4   43.7   -6.0   2.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.007
        0.  18.50  18.44   77.45 2.801E-03  183.2   44.3   -6.4   2.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.017
        0.  19.00  18.44   77.45 2.672E-03  182.1   44.9   -6.8   3.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.010
        0.  19.50  18.44   77.45 2.550E-03  180.9   45.5   -7.2   3.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.013
        0.  20.00  18.44   77.45 2.434E-03  179.8   46.1   -7.6   3.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.009
        0.  20.50  18.44   77.45 2.313E-03  178.9   45.7   -7.5   3.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.003
        0.  21.00  18.44   77.45 2.198E-03  178.1   45.4   -7.3   3.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.015
        0.  21.50  18.44   77.45 2.089E-03  177.2   45.0   -7.2   3.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.002
        0.  22.00  18.44   77.45 1.985E-03  176.3   44.7   -7.0   3.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.022
        0.  22.50  18.44   77.45 1.887E-03  175.5   44.4   -6.9   3.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.037
        0.  23.00  18.44   77.45 1.793E-03  174.6   44.0   -6.7   3.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.025
        0.  23.50  18.44   77.45 1.704E-03  173.7   43.7   -6.6   3.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.999
        0.  24.00  18.44   77.45 1.620E-03  172.8   43.3   -6.4   3.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.983
        0.  24.50  18.44   77.45 1.540E-03  172.0   43.0   -6.3   3.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.981
        0.  25.00  18.44   77.45 1.464E-03  171.1   42.7   -6.1   3.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.981
        0.  25.50  18.44   77.45 1.386E-03  170.4   42.1   -5.3   3.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.983
        0.  26.00  18.44   77.45 1.313E-03  169.6   41.6   -4.4   3.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.984
        0.  26.50  18.44   77.45 1.244E-03  168.9   41.0   -3.5   3.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.987
        0.  27.00  18.44   77.45 1.178E-03  168.1   40.5   -2.7   3.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.952
        0.  27.50  18.44   77.45 1.116E-03  167.4   39.9   -1.8   3.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.947
        0.  28.00  18.44   77.45 1.057E-03  166.6   39.4   -0.9   3.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.971
        0.  28.50  18.44   77.45 1.001E-03  165.9   38.8   -0.0   3.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.955
        0.  29.00  18.44   77.45 9.483E-04  165.1   38.3    0.8   3.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.963
        0.  29.50  18.44   77.45 8.984E-04  164.4   37.7    1.7   4.0   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.952
        0.  30.00  18.44   77.45 8.510E-04  163.7   37.2    2.6   4.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.972
        0.  30.50  18.44   77.45 8.045E-04  163.1   36.5    4.6   4.1   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.990
        0.  31.00  18.44   77.45 7.606E-04  162.5   35.8    6.6   4.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  1.003
        0.  31.50  18.44   77.45 7.191E-04  162.0   35.1    8.6   4.2   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.987
        0.  32.00  18.44   77.45 6.798E-04  161.4   34.4   10.6   4.3   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.963
        0.  32.50  18.44   77.45 6.427E-04  160.8   33.7   12.7   4.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.967
        0.  33.00  18.44   77.45 6.077E-04  160.3   33.0   14.7   4.4   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.952
        0.  33.50  18.44   77.45 5.745E-04  159.7   32.3   16.7   4.5   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.944
        0.  34.00  18.44   77.45 5.432E-04  159.2   31.6   18.7   4.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.942
        0.  34.50  18.44   77.45 5.136E-04  158.6   30.9   20.7   4.6   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.959
        0.  35.00  18.44   77.45 4.856E-04  158.0   30.2   22.8   4.7   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.978
        0.  35.50  18.44   77.45 4.579E-04  156.7   30.0   24.8   4.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.977
        0.  36.00  18.44   77.45 4.319E-04  155.4   29.7   26.9   4.8   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.984
        0.  36.50  18.44   77.45 4.073E-04  154.1   29.5   29.0   4.9   5.5 0.31  7.25 96.61  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.00  0.986
