Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],sigma1_1,sigma2_1,sigma3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],sigma1_2,sigma2_2,sigma3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
100,-306.376687654575,42462.9050160437,1.13437013346161e-06,-3.06371576207895,-0.0221027564330344,2.75248227341996e-08,-0.000591060066467519,-0.000752927034483354,0.445972316819785,-6.35424452261166e-05,-7.10893080260148e-06,7.17778607479926e-05,-306.375948742435,42462.8950471877,0,-3.06370632436245,-0.0221020218600372,0,-0.000591060066467519,-0.000752927034483354,0.445972316819785,-6.35424452261166e-05,-7.10893080260148e-06,0.00107177786074799
110,-337.013770735621,42462.6729350655,1.42624334559939e-06,-3.06369914342721,-0.0243133236188346,3.0831593211905e-08,-0.000712872948518065,-0.000916371853296954,0.449188269404707,-6.98791471776501e-05,-8.06914843391438e-06,7.16993554939679e-05,-337.012929583658,42462.662974639,0,-3.0636895780715,-0.0243124861044991,0,-0.000712872948518065,-0.000916371853296954,0.449188269404707,-6.98791471776501e-05,-8.06914843391437e-06,0.00107169935549397
120,-367.650679458623,42462.418748398,1.75060343394352e-06,-3.06368089351717,-0.026523879087984,3.40189869631822e-08,-0.000845599738650935,-0.00109691148739026,0.452411678469847,-7.62116026017813e-05,-9.07456478317291e-06,7.16130660721314e-05,-367.649734987712,42462.4087975095,0,-3.06367123693069,-0.0265229376879446,0,-0.000845599738650935,-0.00109691148739026,0.452411678469847,-7.62116026017813e-05,-9.07456478317291e-06,0.00107161306607213
130,-398.287397557917,42462.1424561652,2.10616907930021e-06,-3.06366102144238,-0.0287344213804893,3.70703223432378e-08,-0.000989110554947637,-0.00129481539521139,0.455642584201769,-8.25395468373683e-05,-1.01251330946644e-05,7.15189116867643e-05,-398.286349006144,42462.1325159318,0,-3.06365130094959,-0.02873337545969,0,-0.000989110554947637,-0.00129481539521139,0.455642584201769,-8.25395468373683e-05,-1.01251330946644e-05,0.00107151891168676
140,-428.92390884648,42461.8440585057,2.4915147553378e-06,-3.06363953395434,-0.0309449491176909,3.99732268624235e-08,-0.00114327299495703,-0.00151035384971941,0.458881026047647,-8.88627152383742e-05,-1.12208024122729e-05,7.14168082922927e-05,-428.922755690605,42461.8341300501,0,-3.06362977013861,-0.0309437982690589,0,-0.00114327299495703,-0.00151035384971941,0.458881026047647,-8.88627152383742e-05,-1.12208024122729e-05,0.00107141680829229
150,-459.56019719568,42461.5235555715,2.90510802239323e-06,-3.063616436067,-0.0331554609799267,4.27185328037925e-08,-0.00130795211962707,-0.00174379793636825,0.462127042697042,-9.51808432261796e-05,-1.23615175633461e-05,7.13066686142121e-05,-459.558939092855,42461.51364002,0,-3.06360664450897,-0.0331542049653824,0,-0.00130795211962707,-0.00174379793636825,0.462127042697042,-9.51808432261796e-05,-1.23615175633461e-05,0.00107130666861421
160,-490.196246520256,42461.1809475278,3.34533727567878e-06,-3.06359173150535,-0.0353659556903143,4.52994576034466e-08,-0.00148301043717902,-0.0019954195512531,0.465380672063309,-0.000101493666342235,-1.35472191427486e-05,7.11884021711797e-05,-490.194883264764,42461.1710460084,0,-3.06358192407273,-0.0353645943980002,0,-0.00148301043717902,-0.0019954195512531,0.465380672063309,-0.000101493666342235,-1.35472191427486e-05,0.00107118840217118
170,-520.832040767178,42460.8162345519,3.81053240338956e-06,-3.06356542303819,-0.0375764320029818,4.77109957051559e-08,-0.00166830788691606,-0.00226549139942384,0.468641951264628,-0.000107800920301048,-1.47778434971172e-05,7.10619152982705e-05,-520.830572258332,42460.8063481935,0,-3.06355560884275,-0.0375749654162608,0,-0.00166830788691606,-0.00226549139942384,0.468641951264628,-0.000107800920301048,-1.47778434971172e-05,0.00107106191529827
180,-551.467563907378,42460.4294168341,4.29898018917252e-06,-3.06353751272518,-0.0397868886945307,4.99494671350059e-08,-0.00186370182295784,-0.00255428699336915,0.471910916604637,-0.000114102341043499,-1.60533227093339e-05,7.09271111713937e-05,-551.465990125688,42460.4195467653,0,-3.06352769883274,-0.0397853168695222,0,-0.00186370182295784,-0.00255428699336915,0.471910916604637,-0.000114102341043499,-1.60533227093339e-05,0.00107092711117139
190,-582.10279992963,42460.0204945765,4.80893580833587e-06,-3.0635080021,-0.0419973245578486,5.20121825186755e-08,-0.0020690469978926,-0.00286208065167553,0.475187603552665,-0.000120397664790474,-1.73735845832328e-05,7.07838898328659e-05,-582.101120919103,42460.0106419251,0,-3.06349819405723,-0.0419956476071529,0,-0.0020690469978926,-0.00286208065167553,0.475187603552665,-0.000120397664790474,-1.73735845832328e-05,0.00107078388983287
200,-612.737732835994,42459.5894679935,5.33863143043048e-06,-3.06347689230636,-0.0442077383976248,5.38971943137848e-08,-0.00228419554633762,-0.0031891474978644,0.47847204672356,-0.000126686628096817,-1.87385526285583e-05,7.06321482181356e-05,-612.735948690999,42459.579633886,0,-3.06346709453159,-0.0442059564785319,0,-0.00228419554633762,-0.0031891474978644,0.47847204672356,-0.000126686628096817,-1.87385526285583e-05,0.00107063214821813
210,-643.372346638455,42459.1363373114,5.88628266649124e-06,-3.06344418419888,-0.0464181290271059,5.56031122173622e-08,-0.00250899696839974,-0.00353576345941157,0.481764279857095,-0.000132968967905577,-2.01481460461912e-05,7.04717801836563e-05,-643.370457493955,42459.1265228723,0,-3.06343440027202,-0.0464162423330498,0,-0.00250899696839974,-0.00353576345941157,0.481764279857095,-0.000132968967905577,-2.01481460461912e-05,0.00107047178018366
220,-674.006625356417,42458.6611027683,6.45009342358064e-06,-3.06340987841791,-0.0486284952657467,5.71289659506579e-08,-0.00274329811302579,-0.00390220526695084,0.485064335796942,-0.000139244421602558,-2.16022797136594e-05,7.03026765358973e-05,-674.004631380716,42458.6513091199,0,-3.06340011129555,-0.0486265040201092,0,-0.00274329811302579,-0.00390220526695084,0.485064335796942,-0.000139244421602558,-2.16022797136594e-05,0.0010703026765359
230,-704.640553014858,42458.1637646141,7.02825956924221e-06,-3.06337397544511,-0.0508388359375137,5.84741033993439e-08,-0.0029869431612345,-0.00428875045366637,0.488372246469209,-0.000145512727071156,-2.31008641709514e-05,7.01247250614926e-05,-704.638454404203,42458.1539928763,0,-3.06336422762003,-0.050836740389125,0,-0.0029869431612345,-0.00428875045366637,0.488372246469209,-0.000145512727071156,-2.31008641709514e-05,0.00107012472506149
240,-735.274113642958,42457.6443231104,7.61897171578413e-06,-3.06333647564467,-0.0530491498696588,5.96381148540953e-08,-0.00323977360921971,-0.00469567735487548,0.491688042860524,-0.000151773622747472,-2.46438056066505e-05,6.99378105585162e-05,-735.271910617516,42457.6345744004,0,-3.06332674926414,-0.0530469502895257,0,-0.00323977360921971,-0.00469567735487548,0.491688042860524,-0.000151773622747472,-2.46438056066505e-05,0.00106993781055852
250,-765.907291273084,42457.1027785308,8.22041734959621e-06,-3.06329737929382,-0.0552594358918354,6.0620776623921e-08,-0.00350162825131468,-0.00512326510780383,0.49501175499566,-0.000158026847675691,-2.62310058444057e-05,6.97418148688758e-05,-765.904984073949,42457.0930539626,0,-3.0632876762474,-0.0552571325707533,0,-0.00350162825131468,-0.00512326510780383,0.49501175499566,-0.000158026847675691,-2.62310058444057e-05,0.00106974181486887
260,-796.540069940039,42456.5391311603,8.83078246996925e-06,-3.06325668660559,-0.0574696928354611,6.14220091086126e-08,-0.00377234316280897,-0.00557179365155745,0.498343411914679,-0.000164272141563728,-2.78623623297608e-05,6.95366169118233e-05,-796.537658826995,42456.5294318449,0,-3.06324700859017,-0.0574672860822642,0,-0.00377234316280897,-0.00557179365155745,0.498343411914679,-0.000164272141563728,-2.78623623297608e-05,0.00106953661691182
270,-827.172433680512,42455.9533812957,9.44825286644179e-06,-3.0632143977456,-0.0596799195332592,6.20418454736479e-08,-0.00405175168260608,-0.00604154372729106,0.501683041649601,-0.000170509244839112,-2.95377681173576e-05,6.93220927185662e-05,-827.169918930355,42455.9437083407,0,-3.06320474631361,-0.05967740967353,0,-0.00405175168260608,-0.00604154372729106,0.501683041649601,-0.000170509244839112,-2.95377681173576e-05,0.00106932209271857
280,-857.804366532665,42455.3455292456,1.00710151245291e-05,-3.06317051284459,-0.0618901148189295,6.24804082398515e-08,-0.00433968439571109,-0.00653279687857386,0.505030671200567,-0.000176737898705113,-3.12571118585301e-05,6.90981154679696e-05,-857.801748437943,42455.335883755,0,-3.06316088943974,-0.0618875021940377,0,-0.00433968439571109,-0.00653279687857386,0.505030671200567,-0.000176737898705113,-3.125711185853e-05,0.00106909811546797
290,-888.435852535836,42454.7155753301,1.06972574262294e-05,-3.06312503200762,-0.0641002775269122,6.27378918018003e-08,-0.00463596911554112,-0.00704583545195914,0.508386326511495,-0.000182957845197093,-3.30202777893143e-05,6.8864555523353e-05,-888.433131403901,42454.7059584042,0,-3.06311543799139,-0.0640975624932905,0,-0.00463596911554112,-0.00704583545195914,0.508386326511495,-0.000182957845197093,-3.30202777893143e-05,0.00106886455552335
300,-919.066875730319,42454.063519881,1.13251702000555e-05,-3.06307795532101,-0.0663104064922194,6.28145492350845e-08,-0.00494043086604441,-0.00758094259775419,0.511750032445216,-0.000189168827239073,-3.48271457188887e-05,6.8621280470358e-05,-919.064051882602,42454.0539326163,0,-3.06306839199223,-0.0663075894208084,0,-0.00494043086604441,-0.00758094259775419,0.511750032445216,-0.000189168827239073,-3.48271457188887e-05,0.00106862128047036
310,-949.697420157199,42453.3893632419,1.19529466568945e-05,-3.0630292828574,-0.0685205005503141,6.27106823054838e-08,-0.00525289186361457,-0.00813840227098573,0.515121812758068,-0.000195370588700498,-3.66775910184565e-05,6.83681551558639e-05,-949.694493928658,42453.3798067308,0,-3.06301975146676,-0.0685175818261288,0,-0.00525289186361457,-0.00813840227098573,0.515121812758068,-0.000195370588700498,-3.66775910184565e-05,0.00106836815515586
320,-980.327469858242,42452.6931057678,1.2578783236228e-05,-3.06297901467957,-0.0707305585370257,6.2426633938516e-08,-0.00557317149879764,-0.00871849923257716,0.518501690073944,-0.000201562874453197,-3.8571484610607e-05,6.81050417279793e-05,-980.324441596933,42452.6835810987,0,-3.0629695164403,-0.0707275385588071,0,-0.00557317149879764,-0.00871849923257716,0.518501690073944,-0.000201562874453197,-3.8571484610607e-05,0.00106810504172798
330,-1010.9570088758,42451.9747478255,1.32008799874606e-05,-3.06292715084319,-0.0729405792884896,6.19627824135617e-08,-0.00590108631777357,-0.00932151905072525,0.521889685857779,-0.000207745430428514,-4.05086929591613e-05,6.78317996770643e-05,-1010.95387894255,42451.9652560824,0,-3.06291768693902,-0.0729374584684172,0,-0.00590108631777357,-0.00932151905072525,0.521889685857779,-0.000207745430428514,-4.05086929591613e-05,0.00106783179967706
340,-1041.58602125278,42451.2342897936,1.38174409001527e-05,-3.06287369139896,-0.0751505616411046,6.13195368591431e-08,-0.00623645000360262,-0.00994774810248031,0.525285820388458,-0.000213918003674608,-4.2489078059527e-05,6.75482858777838e-05,-1041.58279002089,42451.2248320559,0,-3.06286426298989,-0.0751473404045523,0,-0.00623645000360262,-0.00994774810248031,0.525285820388458,-0.000213918003674608,-4.24890780595269e-05,0.00106754828587778
350,-1072.21449103254,42450.471732062,1.44266741950847e-05,-3.06281863639411,-0.0773605044315041,6.0497333696235e-08,-0.00657907335721715,-0.0105974735755115,0.528690112731117,-0.000220080342413897,-4.45124974295606e-05,6.72543546321395e-05,-1072.21115888761,42450.4623094047,0,-3.06280924462074,-0.0773571832168253,0,-0.00657907335721715,-0.0105974735755115,0.528690112731117,-0.000220080342413897,-4.45124974295606e-05,0.00106725435463214
360,-1102.84240225895,42449.6870750325,1.50267925814513e-05,-3.06276198587358,-0.079570406496536,5.94966338528837e-08,-0.00692876427816802,-0.0112709834701005,0.532102580708862,-0.000226232196100639,-4.65788041010068e-05,6.6949857713562e-05,-1102.83896959866,42449.6776885258,0,-3.06275263186022,-0.0795669857548695,0,-0.00692876427816802,-0.0112709834701005,0.532102580708862,-0.000226232196100639,-4.65788041010067e-05,0.00106694985771356
370,-1133.46973897628,42448.8803191184,1.56160134904702e-05,-3.06270373988085,-0.0817802666732492,5.83179204673462e-08,-0.0072853277450902,-0.0119685666013132,0.535523240873844,-0.000232373315478637,-4.86878466114784e-05,6.66346444119449e-05,-1133.46620621028,42448.8709698277,0,-3.06269442473779,-0.0817767468683391,0,-0.0072853277450902,-0.0119685666013132,0.535523240873844,-0.000232373315478637,-4.86878466114784e-05,0.00106663464441194
380,-1164.09648522927,42448.0514647449,1.61925592873802e-05,-3.06264389845853,-0.083990083798885,5.69616969808212e-08,-0.00764856579589346,-0.0126905126013883,0.538952108477706,-0.000238503452639047,-5.08394689970433e-05,6.63085615796863e-05,-1164.09285277898,42448.0421537304,0,-3.06263462328378,-0.08398646540691,0,-0.00764856579589346,-0.0126905126013883,0.538952108477706,-0.000238503452639047,-5.08394689970433e-05,0.00106630856157969
