0.66872,0.65959,0.6459,0.64535,0.64774,0.65784,0.65624,0.65517,0.65791,0.65892,0.66044,0.66392,0.66532,0.6674,0.66903,0.67011,0.66783,0.6652,0.66126,0.64917,0.64587,0.64477,0.64434,0.64404,0.64774,0.6469,0.64565,0.6498,0.64959,0.64456,0.64667,0.64807,0.64796,0.64753,0.64689,0.64886,0.64924,0.64875,0.65018,0.65114,0.65153,0.65177,0.65212,0.6655,0.66918,0.67054,0.67225,0.67339,0.67244,0.67372,0.67564,0.67554,0.67525,0.67417,0.67305,0.6723,0.67115,0.67138,0.67171,0.67182,0.67207,0.67296,0.67236,0.67197,0.67024,0.67021,0.67017,0.66912,0.66877,0.66843,0.66788,0.66752
0.6452,0.64743,0.65078,0.64823,0.64777,0.64848,0.65042,0.65172,0.64241,0.6432,0.64438,0.64932,0.65217,0.65863,0.66117,0.66286,0.66203,0.6598,0.65646,0.65481,0.65327,0.64876,0.64925,0.64958,0.64578,0.64622,0.64687,0.65552,0.65648,0.6517,0.65735,0.66111,0.66258,0.66403,0.66622,0.66642,0.66718,0.67003,0.66886,0.66807,0.65235,0.65171,0.65074,0.6541,0.65555,0.65797,0.65971,0.66087,0.66012,0.66036,0.66072,0.65987,0.65953,0.65902,0.65743,0.65637,0.65413,0.6528,0.6508,0.64842,0.64865,0.65196,0.65083,0.65007,0.64446,0.64391,0.64309,0.64052,0.63626,0.62177,0.62706,0.63059
0.49386,0.4956,0.4962,0.49717,0.5514,0.5876,0.63465,0.65164,0.65518,0.65256,0.6608,0.65707,0.65646,0.65233,0.65305,0.64985,0.65526,0.65845,0.65686,0.65814,0.65048,0.65022,0.65171,0.65115,0.64133,0.62791,0.61521,0.62133,0.61463,0.60106,0.62693,0.65465,0.66108,0.66401,0.6619,0.66273,0.66463,0.66389,0.66561,0.66938,0.6693,0.67122,0.67109,0.67348,0.6729,0.67264,0.67079,0.66576,0.66121,0.66337,0.66676,0.6644,0.67184,0.67265,0.67327,0.67303,0.67157,0.67125,0.67003,0.66921,0.66735,0.66439,0.66222,0.66201,0.66265,0.66378,0.65581,0.64762,0.62149,0.56437,0.52472,0.49752
0.44842,0.47261,0.48808,0.48332,0.45667,0.46184,0.45407,0.46392,0.46016,0.48763,0.531,0.54796,0.5337,0.54807,0.58086,0.59287,0.62821,0.61434,0.57831,0.53852,0.56567,0.61837,0.64687,0.6506,0.61549,0.62553,0.62132,0.60045,0.56482,0.52082,0.49309,0.502,0.55399,0.60316,0.64336,0.65707,0.66133,0.66461,0.66522,0.6664,0.66,0.66053,0.66286,0.66539,0.66661,0.66667,0.66899,0.66555,0.65565,0.64417,0.65133,0.65866,0.65572,0.65908,0.66643,0.67015,0.66661,0.66525,0.66445,0.66654,0.6648,0.66269,0.66404,0.66112,0.6564,0.65928,0.66245,0.66105,0.64315,0.59009,0.47115,0.42905
0.42022,0.41696,0.41409,0.41736,0.41243,0.41051,0.41027,0.40152,0.39666,0.40396,0.41303,0.4107,0.384,0.37679,0.3654,0.3549,0.36267,0.36923,0.3666,0.36325,0.37901,0.40631,0.478,0.62862,0.61274,0.61041,0.57992,0.50404,0.45301,0.43351,0.42493,0.41446,0.41043,0.4145,0.42348,0.41614,0.40973,0.41873,0.45151,0.46296,0.44644,0.46367,0.51165,0.52258,0.54773,0.58557,0.61947,0.61537,0.57933,0.54987,0.52263,0.51701,0.60743,0.61947,0.59702,0.63729,0.64492,0.6156,0.6357,0.6362,0.62074,0.64257,0.62729,0.63778,0.58706,0.56413,0.588,0.53412,0.47463,0.4491,0.43355,0.43122
0.20846,0.22097,0.23213,0.24308,0.25046,0.26016,0.28492,0.2886,0.28437,0.26555,0.2284,0.21289,0.20959,0.20659,0.20213,0.20258,0.20224,0.20676,0.20289,0.20012,0.20219,0.21,0.20651,0.23424,0.27626,0.29992,0.35798,0.36322,0.36381,0.38757,0.38773,0.36917,0.37878,0.37339,0.37711,0.38543,0.36923,0.36342,0.36391,0.36565,0.37299,0.35831,0.34501,0.33911,0.33896,0.33167,0.34097,0.35365,0.33385,0.32377,0.31182,0.31292,0.30753,0.31662,0.31727,0.34486,0.31673,0.30733,0.29233,0.28638,0.26139,0.26673,0.26277,0.27102,0.25766,0.25263,0.27324,0.28493,0.28857,0.27381,0.2505,0.22031
0.16601,0.169,0.16852,0.16873,0.16754,0.16975,0.17112,0.16833,0.16837,0.17031,0.16787,0.16564,0.17188,0.16936,0.16632,0.1661,0.16451,0.17108,0.16957,0.17307,0.17653,0.17013,0.16419,0.16077,0.16449,0.16743,0.16879,0.16443,0.1741,0.19892,0.19764,0.18966,0.20194,0.21885,0.22421,0.21963,0.2329,0.24318,0.24008,0.24032,0.22236,0.1919,0.18206,0.18489,0.18829,0.18176,0.18243,0.19421,0.18527,0.18535,0.17813,0.19063,0.17876,0.1686,0.16968,0.17573,0.16727,0.1667,0.16923,0.16363,0.16825,0.17124,0.1703,0.16602,0.16815,0.16303,0.16569,0.17059,0.1716,0.17167,0.16749,0.16789
0.14479,0.14287,0.14241,0.14518,0.14337,0.14595,0.14247,0.14225,0.14408,0.14144,0.14338,0.14453,0.143,0.14305,0.14833,0.14795,0.15061,0.1472,0.14885,0.15007,0.14819,0.17063,0.14757,0.13317,0.13584,0.14029,0.14497,0.14655,0.1424,0.14337,0.14493,0.14507,0.14545,0.14569,0.14502,0.14552,0.14531,0.14498,0.14461,0.14428,0.14376,0.14376,0.14443,0.14534,0.14281,0.14611,0.15044,0.15053,0.14958,0.14895,0.14827,0.14827,0.14613,0.1481,0.14389,0.14475,0.14209,0.14239,0.14179,0.14019,0.14584,0.1427,0.14498,0.14536,0.1457,0.1424,0.14299,0.14465,0.1451,0.14766,0.14587,0.14547
0.12715,0.12945,0.12881,0.12714,0.12849,0.12908,0.12992,0.13004,0.13049,0.13,0.13133,0.1289,0.13056,0.13443,0.13438,0.13452,0.13757,0.13721,0.13226,0.13165,0.13298,0.1963,0.15473,0.12133,0.12427,0.12624,0.12538,0.12747,0.13023,0.12928,0.12985,0.13059,0.13123,0.13009,0.13024,0.12873,0.12919,0.12936,0.12781,0.12698,0.12963,0.13076,0.12955,0.12993,0.13127,0.13458,0.1352,0.13495,0.13472,0.13661,0.13357,0.13356,0.13274,0.13302,0.13168,0.13043,0.12959,0.1288,0.12541,0.12777,0.13136,0.13323,0.12791,0.12877,0.12971,0.12827,0.12974,0.12938,0.1286,0.13784,0.12998,0.12808
0.11632,0.1176,0.11822,0.11748,0.11932,0.12036,0.12134,0.12021,0.12121,0.12131,0.12037,0.11767,0.12076,0.12179,0.12159,0.12295,0.12286,0.12131,0.11932,0.12207,0.11759,0.15039,0.16893,0.12131,0.11443,0.11485,0.11551,0.11786,0.11874,0.1196,0.11871,0.11947,0.1189,0.11854,0.11919,0.11872,0.11932,0.11933,0.11791,0.11842,0.11763,0.1176,0.11937,0.11836,0.11831,0.11892,0.11788,0.1188,0.1189,0.11999,0.11958,0.11945,0.11912,0.11798,0.11917,0.11913,0.11885,0.11854,0.11735,0.11843,0.11929,0.1201,0.11899,0.11905,0.12037,0.12583,0.11741,0.11754,0.11675,0.12004,0.13495,0.11835
